,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169
1584,a,445,579,233,212,177,268,250,253,265,250,69,164,149,63,79,98,150,118,17,15,15,16,15,14,14,0,23,45,1,39,45,27,53,40,30,48,31,0,0,30,33,0,0,0,0,0,0,0,0,12706,10821,7948,6406,8056,11037,12814,13260,15045,14280,16830,19635,20400,20400,19635,17595,0,0,0,0,0,0,0,0,2040,1785,1020,255,255,1020,1785,2040,19125,21420,22950,23460,23460,22950,20655,18360,12240,13019,13557,12296,11531,13302,14804,13515,0,0,0,0,0,0,0,0,19341,21832,22185,21892,21542,20229,17912,17027,5355,6885,9180,10200,10200,10200,8925,6375,22440,22185,21854,20682,21116,22977,23894,23460,8116,7562,5566,3315,3315,5355,7395,8160,0,0,0,0,0,0,0,0,24735,23205,22695,23460,23715,23460,24225,25245,7140,8415,8925,7650,6120,5610,5865,6375,15273,18691,20145,20400,19635,17416,14253,12799
1585,a,619,405,404,215,225,394,384,350,310,384,192,212,121,94,93,132,217,177,26,26,26,26,26,26,22,36,59,59,38,55,58,62,37,2,15,50,54,0,0,46,48,12929,11578,9104,7650,8928,11226,12753,13260,24198,23124,23097,23889,24963,25500,25500,25245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500,25500,24735,23460,23460,24480,25245,25500,24480,24480,24480,24225,23205,22440,23205,24225,0,765,2550,3825,4080,4080,3060,1020,0,0,0,0,0,0,0,0,25500,25500,25500,25488,25209,24954,25233,25500,25500,25500,24990,24225,24480,25245,25500,25500,18389,16512,18328,21116,22264,22440,22325,21238,20910,18870,16854,16392,18942,21699,22440,22185,18284,18360,17850,16065,13005,11399,13797,17112,14424,18133,19980,20400,20144,18460,14586,12141,25245,25500,25245,24259,22287,21046,22287,24259,22185,23970,24480,24480,24480,23970,22185,20910
1586,a,522,502,231,291,268,254,358,302,351,358,107,124,161,130,123,145,175,79,19,17,16,19,20,20,20,1,37,56,13,38,29,50,7,59,50,44,8,25,29,25,51,0,0,0,0,0,0,0,0,12802,11069,8212,6885,9180,12240,13260,13260,25500,25432,25041,24786,25177,25500,25500,25500,6120,5610,7905,10455,11220,11220,10455,8415,12240,11220,8160,5865,7140,9945,11730,12240,9180,12495,14025,14280,14025,12284,8758,6929,19380,18615,15810,13515,15300,18360,19380,19380,9180,10965,13260,14280,14280,14025,12240,9690,23460,23970,24735,24990,24990,24990,24735,23970,21165,19890,17340,16320,18615,20910,21420,21420,12240,14535,14535,12750,11220,10710,10455,10455,5100,6375,8925,10200,10200,10200,8925,6375,4355,5865,5865,4749,2633,984,845,2100,255,765,1020,1020,765,255,0,0,0,0,0,0,0,0,0,0,22950,21675,22440,23970,24225,23970,24225,24225
1587,a,515,509,335,180,210,305,318,287,257,318,170,165,124,56,102,108,130,175,19,19,18,18,19,18,21,41,49,50,30,54,27,28,56,7,32,40,45,0,0,12,44,15904,14063,10609,8325,9761,13132,15566,16320,22950,21675,22440,23970,24480,24480,24480,24225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21612,23094,24528,24990,25245,25500,24273,22074,8160,8160,7392,5346,3303,3303,5601,7647,10089,11142,13692,15189,15300,15300,14025,11475,0,0,0,0,0,0,0,0,23480,23475,24246,23763,22504,22743,24246,24495,6120,5530,3410,1195,1020,2805,5100,6120,13515,13770,16320,18105,18360,18360,17595,15555,0,0,0,0,0,0,0,0,11220,11220,10710,8925,6375,5610,7905,10455,25245,25245,24735,24735,25245,25500,25245,24990,22097,22440,22440,21675,18870,16487,17841,20646,21750,23995,24480,24480,23851,22083,19813,19336
1588,a,516,508,308,208,210,306,344,298,263,344,161,147,153,55,108,102,136,170,21,20,21,19,17,18,14,23,47,48,43,57,15,43,32,28,40,45,40,0,0,0,55,4080,3570,2040,765,1092,2439,3642,4080,25066,24453,24708,25321,25500,25500,25500,25500,7905,6765,8430,11100,12750,13260,12495,10455,0,0,0,0,0,0,0,0,23436,22781,20148,17429,17429,19638,22247,23412,0,0,0,0,0,0,0,0,15300,16575,19125,20400,20400,20400,19125,16575,0,0,0,0,0,0,0,0,20400,21675,24225,25500,25500,25500,24225,21675,15300,14502,11631,9048,10068,12906,14757,15300,18600,18870,21420,23205,23205,22950,22425,20625,0,0,0,0,0,0,0,0,21420,21420,20836,18977,16246,15300,17850,20655,13788,17226,19002,19380,19125,17472,13911,11748,18360,18360,17644,15447,12332,11104,13860,17285,24973,23715,22440,22695,24480,25500,25483,25466
1589,a,604,420,338,266,257,347,399,355,336,399,164,174,197,69,111,146,189,158,17,19,17,18,19,19,21,7,44,62,51,54,34,33,53,48,64,60,25,2,4,34,29,0,0,0,0,0,0,0,0,22918,21090,18195,16996,19425,22320,23328,23460,17595,15300,16320,18870,20145,20400,20400,19890,0,0,0,0,0,0,0,0,16320,15810,13515,10965,11430,13935,15765,16320,7535,10815,12785,13260,13260,12275,9030,6260,25500,25500,25500,25500,25500,25500,25500,25500,0,0,0,0,0,0,0,0,25500,25500,24966,24153,24384,25173,25476,25500,7140,6375,4080,2295,3315,5610,6885,7140,25500,25500,25500,25500,25500,25500,25500,25500,12495,10200,8670,8925,11475,13770,14280,14025,24480,24480,23883,22179,19821,19104,21486,23907,24225,25245,25500,25500,25500,25245,24225,23460,8415,9180,9180,8555,6400,4220,4335,6375,12750,15555,16320,16320,15555,13515,10965,10200
1590,a,514,510,297,217,205,309,328,308,264,328,167,130,171,46,97,108,140,169,16,17,17,18,18,15,16,14,49,53,51,54,7,19,50,29,52,62,28,0,0,6,40,1020,765,255,0,255,765,1020,1020,24735,24480,23205,22695,23715,24225,23715,23970,8160,6885,8925,11730,13005,13260,12750,10965,0,0,0,0,0,0,0,0,20400,19890,17595,15045,15300,17595,19635,20400,52,359,817,1020,1020,765,255,0,24048,23901,24882,25245,24480,24225,24882,24921,0,0,0,0,0,0,0,0,25265,25500,25245,24990,25245,25500,25265,25030,2040,1646,742,116,255,1020,1785,2040,25500,25500,25500,25500,25500,25500,25500,25500,0,0,0,0,0,0,0,0,24480,24480,24125,22905,20765,19845,21830,23970,24173,24834,24017,23304,24173,24990,24225,23460,9180,9945,9945,8670,6375,5100,6120,7905,19635,21930,22440,22440,21420,19125,17085,17085
1591,a,560,464,249,311,220,340,311,373,343,311,110,139,190,121,131,89,162,178,19,17,13,20,20,20,20,17,1,52,40,49,15,31,44,53,41,47,49,12,32,32,45,3060,2550,1275,510,1020,2040,2805,3060,23725,23490,22225,21960,23725,24990,24225,23460,23970,23205,23460,23970,23108,22149,22914,24128,1020,510,1275,2550,3060,3060,2805,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10200,10200,9047,6619,5477,6885,9180,10200,10200,11475,14025,15300,15300,15300,14025,11475,22175,20812,17606,15431,17337,20475,22040,22440,11277,13704,14280,14280,13704,11787,9171,8661,19010,19265,18525,17020,14802,13516,15161,17697,10200,11475,14025,15300,15300,15300,14025,11475,19125,19380,19273,18039,14724,12388,14280,17595,15300,12750,12495,14535,16575,17340,17340,17085,22709,22185,20312,19626,21411,22876,22482,22227,22440,21675,22950,24225,24225,23970,24225,23970
1592,a,565,459,244,321,285,280,336,333,388,336,133,111,135,186,147,138,190,90,17,16,16,17,18,18,19,13,53,56,11,48,10,33,20,52,26,53,4,34,49,48,55,1012,749,247,0,104,463,869,1020,22315,19508,16819,16557,19494,22563,23460,23460,24480,25500,25500,25500,24225,21675,20655,22185,10455,8160,10200,13515,15045,15300,15300,14025,23460,22950,20655,18145,18480,20775,22735,23460,1242,2517,3049,3060,3060,2550,1275,499,5100,4510,2820,1465,1975,3585,4765,5100,20655,22185,24480,25500,25500,25500,24225,21675,25500,25500,25285,24600,23620,23580,24775,25500,8214,5772,3369,3300,6051,8562,9180,9180,22185,23970,24225,23970,24225,23970,22185,20910,20400,21675,24225,25500,25500,25500,24225,21675,1634,2040,2040,1785,1020,255,104,718,7140,8925,9180,9180,8160,5865,4080,4590,0,0,0,0,0,0,0,0,24903,24648,25131,25500,25245,24990,25245,25386
1593,a,512,512,305,207,210,302,355,311,287,355,148,157,145,62,89,121,192,110,16,14,13,17,16,18,18,5,39,48,56,55,25,41,36,29,57,54,5,0,0,49,13,0,0,0,0,0,0,0,0,22950,21231,18460,17310,19696,22467,23362,23460,7379,6630,8893,11411,12208,12240,11714,9913,0,0,0,0,0,0,0,0,14280,13499,10662,8048,8717,11283,13451,14280,3483,5991,7692,8160,8160,7182,4461,2463,25245,24990,25245,25500,25500,25500,25500,25500,0,0,0,0,0,0,0,0,22440,23636,23719,22416,22305,23673,23956,22695,13260,12481,9648,7084,8359,11433,12991,13260,21292,22089,22121,21324,20017,18997,19252,20272,20496,18138,15796,15653,18250,20751,21420,21420,25500,25500,24990,23526,21618,21174,23148,25056,15045,18360,19380,19380,19380,18360,15045,12750,0,0,0,0,0,0,0,0,2805,4590,5100,5004,4047,2262,924,1020
