,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169
55,1,602,422,284,318,299,303,393,425,340,393,74,210,236,82,128,171,123,180,18,19,21,15,14,13,13,0,30,6,38,19,63,64,64,59,64,53,60,50,14,0,18,0,0,0,0,0,0,0,0,8464,6267,3511,2583,4921,8046,9180,9180,36210,34919,33357,33086,34887,36449,36720,36720,28863,30090,31365,32640,33405,32943,30489,28449,21958,21165,18344,16782,16766,16527,17352,19946,36720,36720,36720,36493,36039,36039,36493,36720,36720,36720,36720,36720,36720,36720,36720,36720,2295,4080,5610,6120,6120,5371,3347,1801,1020,765,255,0,0,16,287,781,36720,36720,36720,36720,36720,36720,36720,36720,27795,30090,32640,33660,33660,33405,31365,28305,0,0,0,0,0,0,0,0,23460,21420,18615,18105,19890,21165,22185,23460,36720,36720,36720,36720,36720,36720,36720,36720,34302,33537,34384,35445,35700,35700,35700,35404,8523,8304,9069,11073,12789,12249,10209,8964
56,1,605,419,164,441,347,258,323,425,460,323,38,126,253,188,147,200,136,122,22,20,21,22,21,21,20,2,36,0,0,29,52,24,21,61,64,64,64,55,48,48,37,0,0,0,0,0,0,0,0,15651,13293,9819,8799,12018,15396,16320,16320,36465,35700,34680,34680,35955,36720,36720,36720,32068,32229,33855,35607,36434,36465,34967,33023,23970,24225,22440,21420,20655,19125,19125,21420,29445,31150,31365,30600,28600,26385,26170,27445,36720,36720,36720,36720,36720,36720,36720,36720,24480,26010,29070,30600,30600,30600,29070,26010,0,0,0,0,0,0,0,0,12240,12240,10710,7650,6120,7650,10710,12240,36720,36720,36720,36720,36720,36720,36720,36720,23712,25530,28782,30504,30600,30312,28206,24954,0,0,0,0,0,0,0,0,13770,13802,11348,7874,6121,6854,9563,12272,36720,36720,36720,36720,36720,36720,36720,36720,16989,19698,22344,23460,23205,22185,19380,16575
57,1,253,771,208,45,105,148,166,148,127,166,47,161,23,22,65,40,40,108,11,10,9,11,11,11,10,26,0,0,21,39,40,40,42,0,0,0,23,0,0,0,22,18189,16023,11905,9560,11225,14688,17303,18351,18105,19125,22185,24225,24480,24480,22950,19890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18360,19890,22950,24480,24480,24480,22950,19890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22216,22981,25445,26038,24932,25329,26067,24312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10455,7650,5865,6885,9712,11519,11752,11730,27765,28777,29151,29158,28273,26496,25357,26115,13638,12961,11220,11985,13770,13005,11176,11853,13515,12495,11210,12720,14505,13250,11220,11985
58,1,431,593,333,98,163,268,269,266,171,269,109,224,50,48,70,93,64,204,17,17,19,15,15,14,14,25,40,2,42,45,53,62,64,0,0,0,50,0,0,0,48,12812,10896,7388,5299,7434,11135,12956,13260,23205,23460,26520,29070,29580,29580,28305,25500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22893,24376,24153,23085,20400,17332,17100,19753,28560,29325,32385,34425,34680,34680,33405,30600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35124,35013,36066,36720,36720,36720,36576,36033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31365,28815,26520,25284,25617,27186,29952,32169,36632,36720,36720,36720,36720,36720,36632,36544,33660,32130,30600,32130,34082,33141,31356,32297,31365,32895,33405,34170,33915,31620,29325,29325
59,1,473,551,251,222,198,275,278,317,267,278,63,188,176,46,95,103,75,200,18,19,19,19,19,19,18,7,14,0,42,45,47,38,58,43,42,37,54,0,0,0,46,1733,916,203,106,722,1636,2040,2040,28094,26134,22365,20373,23389,27333,28552,28560,21828,21539,24378,27251,28305,28560,27285,24446,0,0,0,0,0,0,0,0,6630,7140,6630,5355,3825,3060,3825,5355,25245,26265,25755,23970,21930,21165,22440,23970,19808,22068,25496,27357,27540,26882,24036,20573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23460,22998,20544,17277,16512,18655,21770,23356,16109,18338,21666,23357,23460,22892,20247,16895,0,0,0,0,0,0,0,0,28305,25500,23205,23205,25245,27030,28305,29325,34425,33660,32385,31875,33150,34425,34680,34680,34220,33915,33660,34935,35240,33555,31820,32535,30090,31110,31365,32385,32640,30600,28305,28305
60,1,445,579,82,363,262,183,236,328,357,236,25,57,247,116,164,98,93,90,13,14,13,12,13,13,14,22,3,0,0,36,0,6,15,56,63,64,64,50,32,23,11,9999,7047,4497,4899,8129,10648,11189,11220,22404,20802,18216,18216,20802,22149,21420,21675,35955,34170,32385,32130,33660,35190,36210,36720,26907,28815,30345,31365,31620,30987,28446,26151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36720,36720,36393,35994,36213,36576,36684,36720,12265,13820,16855,18360,18360,18360,16830,13770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36720,36720,36720,36720,36720,36720,36720,36720,5727,8289,11448,13065,13260,12543,9579,6117,0,0,0,0,0,0,0,0,6120,6120,4590,1530,0,1275,4080,5865,36720,36720,36720,36720,36720,36720,36720,36720,0,426,1617,2721,3060,2637,1449,342
61,1,532,492,267,265,228,304,305,358,319,305,71,196,217,48,111,117,83,221,22,23,21,23,22,21,20,8,13,0,50,60,50,27,59,43,54,56,64,0,0,0,48,2040,1785,1020,255,255,1020,1785,2040,36496,35793,34549,34008,35221,36465,36720,36720,22378,22123,25071,28162,29325,29580,28162,25071,0,0,0,0,0,0,0,0,5865,6120,5865,4845,3060,2040,3060,4845,28281,29110,28449,26959,25150,24114,25094,26791,29874,30737,33954,36308,36720,36720,35190,31973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15300,15300,13818,10599,8352,9117,12384,14838,30600,32130,35190,36720,36720,36720,35190,32130,0,0,0,0,0,0,0,0,34228,31338,28949,28949,30980,32747,34013,35136,36003,34314,32832,33294,35493,36720,36720,36720,36640,36560,36640,36720,36720,36720,36720,36720,31027,29648,29455,31881,34497,34349,32419,31520
62,1,328,696,137,191,139,189,188,231,195,188,30,107,160,31,79,60,44,145,10,8,9,11,11,10,9,0,0,0,30,23,18,19,47,56,42,25,37,0,0,0,31,0,0,0,0,0,0,0,0,11730,9945,7140,5865,8160,11220,12240,12240,34170,34170,33915,33915,35069,36223,35834,34680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600,7645,8160,7905,6375,4080,2805,3310,21420,23970,26010,26265,26520,26775,24480,21420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9180,8670,6375,3570,3124,5228,7969,9180,7004,9833,12965,14280,14280,13483,10359,7012,0,0,0,0,0,0,0,0,16830,13770,11985,13005,15810,17595,18105,18360,28949,28815,27010,26205,27104,27412,26801,27432,21675,20434,20269,22586,23771,21731,19747,20711,20343,19323,18256,19890,21420,19890,18105,19021
63,1,530,494,133,397,308,222,272,393,397,272,32,101,243,154,158,150,114,108,16,16,15,15,14,16,16,13,19,0,0,32,17,17,35,56,61,64,62,57,53,33,11,4100,1845,315,785,2805,4590,5100,5100,18133,15129,12352,12352,15639,18643,19380,19380,35190,33660,31365,30600,32895,35190,35700,35700,32936,33018,34334,35823,36506,36720,35700,33915,7797,9180,9180,8562,6051,3138,2628,4776,3570,5610,6120,6120,5097,2796,1011,1272,36720,36720,35915,34305,33755,34815,36170,36720,28388,30471,33362,34680,34680,34382,32256,29153,0,0,0,0,0,0,0,0,7140,6574,4422,2071,1828,3681,6076,7140,36720,36720,36720,36720,36720,36720,36720,36720,12752,15429,18233,19380,19380,18743,15939,12752,0,0,0,0,0,0,0,0,22185,22185,20145,17085,15810,16830,19380,21420,36210,36720,36720,36720,36720,36465,35700,35445,255,1275,2550,3060,3060,2797,1769,502
64,1,327,697,116,211,138,189,169,235,219,169,34,82,178,33,70,68,50,139,14,13,11,15,13,14,16,1,2,0,31,30,20,0,32,39,46,50,43,0,0,0,33,0,0,0,0,0,0,0,0,16847,14586,10523,8483,11522,15819,17336,17340,18105,19125,22185,24225,24480,24480,22950,19890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3825,5610,6120,6020,5055,3270,1940,2040,23460,24225,27285,29325,29580,29580,28305,25500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29580,30345,32835,33480,32400,32715,33345,31620,0,0,0,0,0,0,0,0,17734,14952,12657,13144,16065,18360,18870,18870,21420,19890,18360,19890,21420,19890,18360,19890,28050,29325,29371,28698,27338,25376,24395,25755,22674,21743,20640,21915,23640,23010,21308,21594
